"rider_type","end_station_name","number_of_rides"
"casual","",408882
"casual","Streeter Dr & Grand Ave",59876
"casual","DuSable Lake Shore Dr & Monroe St",29603
"casual","Millennium Park",26677
"casual","Michigan Ave & Oak St",26450
"casual","DuSable Lake Shore Dr & North Blvd",26144
"casual","Theater on the Lake",19418
"casual","Shedd Aquarium",18631
"casual","Wells St & Concord Ln",15507
"casual","Clark St & Armitage Ave",13851
"casual","Clark St & Lincoln Ave",13594
"casual","Dusable Harbor",13379
"casual","Indiana Ave & Roosevelt Rd",12655
"casual","Montrose Harbor",12272
"casual","Clark St & Elm St",12121
"casual","Wabash Ave & Grand Ave",12018
"casual","Clark St & Newport St",11984
"casual","Broadway & Barry Ave",11981
"casual","Sheffield Ave & Waveland Ave",11708
"casual","Wells St & Elm St",11614
"casual","Michigan Ave & Washington St",11209
"casual","LaSalle St & Illinois St",10956
"casual","Wilton Ave & Belmont Ave",10817
"casual","DuSable Lake Shore Dr & Belmont Ave",10606
"casual","Adler Planetarium",10529
"casual","Clark St & Wrightwood Ave",10476
"casual","DuSable Lake Shore Dr & Diversey Pkwy",10371
"casual","Michigan Ave & 8th St",10111
"casual","McClurg Ct & Ohio St",10085
"casual","Damen Ave & Pierce Ave",10084
"casual","Lakeview Ave & Fullerton Pkwy",9949
"casual","Halsted St & Roscoe St",9861
"casual","Larrabee St & Webster Ave",9826
"casual","Michigan Ave & Lake St",9756
"casual","Dearborn St & Erie St",9523
"casual","New St & Illinois St",9458
"casual","Wells St & Evergreen Ave",9392
"casual","DuSable Lake Shore Dr & Wellington Ave",9209
"casual","Wells St & Huron St",8958
"casual","Ashland Ave & Division St",8848
"casual","Fairbanks Ct & Grand Ave",8706
"casual","St. Clair St & Erie St",8687
"casual","Lincoln Ave & Fullerton Ave",8512
"casual","Clark St & Drummond Pl",8447
"casual","Southport Ave & Roscoe St",8390
"casual","Wabash Ave & Roosevelt Rd",8325
"casual","Halsted St & Wrightwood Ave",8217
"casual","Broadway & Cornelia Ave",8209
"casual","Sheffield Ave & Fullerton Ave",8001
"casual","State St & Randolph St",7976
"casual","Wells St & Hubbard St",7776
"casual","Kingsbury St & Kinzie St",7743
"casual","Michigan Ave & Jackson Blvd",7720
"casual","Pine Grove Ave & Waveland Ave",7708
"casual","Dearborn Pkwy & Delaware Pl",7693
"casual","Southport Ave & Waveland Ave",7668
"casual","Green St & Madison St",7622
"casual","Broadway & Waveland Ave",7555
"casual","Sheffield Ave & Wrightwood Ave",7531
"casual","Clark St & Schiller St",7344
"casual","Rush St & Cedar St",7228
"casual","Kedzie Ave & Milwaukee Ave",7223
"casual","Sheffield Ave & Wellington Ave",7223
"casual","Wabash Ave & Wacker Pl",7215
"casual","Lincoln Park Conservatory",7078
"casual","Clark St & Wellington Ave",7061
"casual","Sheffield Ave & Webster Ave",7035
"casual","Stockton Dr & Wrightwood Ave",6993
"casual","Clinton St & Madison St",6947
"casual","Broadway & Belmont Ave",6880
"casual","Halsted St & Clybourn Ave",6817
"casual","Halsted St & Dickens Ave",6705
"casual","State St & Chicago Ave",6465
"casual","Lakefront Trail & Bryn Mawr Ave",6433
"casual","Racine Ave & Belmont Ave",6406
"casual","Sedgwick St & North Ave",6405
"casual","Clark St & North Ave",6363
"casual","California Ave & Milwaukee Ave",6276
"casual","Wilton Ave & Diversey Pkwy",6178
"casual","Clark St & Grace St",6133
"casual","Sheridan Rd & Irving Park Rd",6132
"casual","Wood St & Milwaukee Ave",6125
"casual","Mies van der Rohe Way & Chestnut St",6122
"casual","Clark St & Winnemac Ave",6086
"casual","Columbus Dr & Randolph St",6034
"casual","Federal St & Polk St",6020
"casual","State St & Kinzie St",6019
"casual","Wabash Ave & 9th St",5991
"casual","Desplaines St & Kinzie St",5955
"casual","Damen Ave & Cortland St",5939
"casual","Pine Grove Ave & Irving Park Rd",5922
"casual","Southport Ave & Wrightwood Ave",5850
"casual","Milwaukee Ave & Grand Ave",5711
"casual","Franklin St & Jackson Blvd",5687
"casual","Field Museum",5664
"casual","Lincoln Ave & Diversey Pkwy",5592
"casual","Green St & Randolph St*",5572
"casual","Michigan Ave & Pearson St",5550
"casual","Sedgwick St & Webster Ave",5535
"casual","Broadway & Sheridan Rd",5524
"casual","Field Blvd & South Water St",5514
"casual","Clark St & Lake St",5488
"casual","Wentworth Ave & Cermak Rd",5473
"casual","Greenview Ave & Fullerton Ave",5440
"casual","University Ave & 57th St",5427
"casual","Sheridan Rd & Montrose Ave",5415
"casual","Buckingham Fountain",5395
"casual","Bissell St & Armitage Ave*",5392
"casual","Rush St & Superior St",5375
"casual","Burling St & Diversey Pkwy",5365
"casual","Franklin St & Illinois St",5338
"casual","Mies van der Rohe Way & Chicago Ave",5271
"casual","Ritchie Ct & Banks St",5245
"casual","Kingsbury St & Erie St",5168
"casual","Canal St & Adams St",5165
"casual","Southport Ave & Wellington Ave",5123
"casual","Cityfront Plaza Dr & Pioneer Ct",5069
"casual","LaSalle Dr & Huron St",5039
"casual","Franklin St & Chicago Ave",5019
"casual","Honore St & Division St",5013
"casual","Dearborn St & Monroe St",4996
"casual","Clinton St & Washington Blvd",4983
"casual","Shore Dr & 55th St",4959
"casual","Peoria St & Jackson Blvd",4943
"casual","Milwaukee Ave & Wabansia Ave",4888
"casual","Kimbark Ave & 53rd St",4832
"casual","Michigan Ave & Ida B Wells Dr",4813
"casual","Ravenswood Ave & Lawrence Ave",4794
"casual","Burnham Harbor",4768
"casual","Clark St & Berwyn Ave",4768
"casual","Michigan Ave & Madison St",4746
"casual","Clinton St & Jackson Blvd",4731
"casual","Southport Ave & Belmont Ave",4728
"casual","Clinton St & Lake St",4703
"casual","Franklin St & Lake St",4666
"casual","Sheffield Ave & Kingsbury St",4627
"casual","Ellis Ave & 60th St",4573
"casual","McClurg Ct & Erie St",4556
"casual","Damen Ave & Chicago Ave",4521
"casual","Fort Dearborn Dr & 31st St",4498
"casual","Michigan Ave & 14th St",4475
"casual","Stetson Ave & South Water St",4451
"casual","Ogden Ave & Chicago Ave",4436
"casual","Southport Ave & Clybourn Ave",4396
"casual","Orleans St & Merchandise Mart Plaza",4387
"casual","Daley Center Plaza",4340
"casual","McCormick Place",4331
"casual","Lakefront Trail & Wilson Ave",4312
"casual","Clarendon Ave & Junior Ter",4287
"casual","Larrabee St & Kingsbury St",4282
"casual","Clark St & Chicago Ave",4249
"casual","Western Ave & Winnebago Ave",4243
"casual","Morgan St & Lake St",4195
"casual","Clarendon Ave & Gordon Ter",4113
"casual","Cannon Dr & Fullerton Ave",4097
"casual","Wabash Ave & Adams St",4065
"casual","Larrabee St & Division St",4055
"casual","Sheffield Ave & Willow St",4046
"casual","Dayton St & North Ave",4006
"casual","Canal St & Madison St",3940
"casual","Clark St & Randolph St",3919
"casual","Aberdeen St & Randolph St",3886
"casual","Damen Ave & Division St",3884
"casual","Desplaines St & Randolph St",3875
"casual","Racine Ave & Fullerton Ave",3834
